place_id,place_name,place_type,district_or_block,state,country,latitude,longitude,note,source_id
PLC-000001,Ranchi District,district,Ranchi,Jharkhand,India,,,Study region in project and sources,SRC-000007
PLC-000002,Khunti District,district,Khunti,Jharkhand,India,,,Study region in project and sources,SRC-000007
PLC-000003,Jagannathpur Mauja,village/mauja,Ranchi,Jharkhand,India,,,Funerary case study location reported by Shekhar 2020,SRC-000007
PLC-000004,Ithe village,village,"Murhu, Khunti",Jharkhand,India,,,Secondary funerary case study location reported by Shekhar 2020,SRC-000007
